join_key,join_key_type,rule_action,rule_desc,rule_interface,rule_source,pf_rule_number,rule_tracker,rule_uuid,rule_sequence,rule_enabled
02f4bab031b57d1e30553ce08e0ec131,uuid,block,Default deny / state violation rule,floating,mvc_filter,,,02f4bab031b57d1e30553ce08e0ec131,000001.1000002,1
0454a1341afa39c9821c959e0f57123c,uuid,pass,Mirroring_high_ports_ROKU,VLAN_MEDIA,mvc_filter,,,0454a1341afa39c9821c959e0f57123c,41,1
053f0281c8328ad53c8004a4585885b8,uuid,pass,LAN to VZW GATEWAY,LAN,mvc_filter,,,053f0281c8328ad53c8004a4585885b8,22,1
059b19d432945494adc30bcd9eb92961,uuid,pass,AMP HTTP,"LAN,WAN_ATT",mvc_filter,,,059b19d432945494adc30bcd9eb92961,2,1
063d5ec3-9b7b-456b-a74b-6c66832d3cc8,uuid,pass,VLAN_MEDIA_DNS,opt6,download_rules,,,063d5ec3-9b7b-456b-a74b-6c66832d3cc8,351,1
0850ff24e9fe16d2c338a80ec47bb3af,uuid,pass,LAN_NTP,LAN,mvc_filter,,,0850ff24e9fe16d2c338a80ec47bb3af,13,1
090dd778-c0e4-4dda-a187-fea0bc67eaed,uuid,pass,AMP HTTPS (admin.friendcraft.club),"lan,wan",download_rules,,,090dd778-c0e4-4dda-a187-fea0bc67eaed,11,1
0925e2cf287d76562ca251ea62851b5f,uuid,pass,allow access to DHCP server,VLAN_IOT,mvc_filter,,,0925e2cf287d76562ca251ea62851b5f,000001.1000030,1
0979d31b-9084-4e84-b2d4-541490381431,uuid,rdr,FriendCraft SVC NAT Rule 24454,"lan,wan",mvc_nat,,,0979d31b-9084-4e84-b2d4-541490381431,500,
0b664338-7c13-4f3d-bdee-afa7ed880498,uuid,pass,Default allow LAN to Inet,lan,download_rules,,,0b664338-7c13-4f3d-bdee-afa7ed880498,181,1
0bd834026394f4edab218f40c99bb8de,uuid,pass,VPN allow all,OpenVPN,mvc_filter,,,0bd834026394f4edab218f40c99bb8de,24,1
0ef1d206-ee57-4ab0-97f4-0662cbb2d05e,uuid,pass,HA_to_IOT_VLAN,opt5,download_rules,,,0ef1d206-ee57-4ab0-97f4-0662cbb2d05e,301,1
